sent_id	word_char	upos	character_token_n	stroke_n
F240020	过问	v	2	12
F240021	交款	v	2	18
F240022	２８．１％	m	5	0
F240022	生活费	n	3	23
F240022	支配权	n	3	20
F240022	３３．３％	m	5	0
F240022	零用钱	n	3	28
F240024	家务活	n	3	24
F240025	８．６％	m	4	0
F240025	１２．９％	m	5	0
F240025	２２．７％	m	5	0
F240027	送礼	v	2	14
F240027	探亲访友	l	4	30
F240028	１８．９％	m	5	0
F240029	包揽	v	2	17
F240030	插手	v	2	16
F240031	２５．３％	m	5	0
F240032	枕头风	l	3	17
F240034	轻重	n	2	18
F240035	０分	t	2	0
F240036	定量分析	l	4	32
F240037	中度	b	2	13
F240037	重度	b	2	18
F240038	８４．８％	m	5	0
F240038	１３．６６％	m	6	0
F240038	１．６％	m	4	0
F240040	２１．８％	m	5	0
F240040	６３．４％	m	5	0
F240040	１３．９％	m	5	0
F240042	７２．４％	m	5	0
F240042	６８．３％	m	5	0
F240043	２４．５％	m	5	0
F240043	１７．７％	m	5	0
F240044	１７．４％	m	5	0
F240044	２６．２％	m	5	0
F240045	４４．２％	m	5	0
F240046	３６．６％	m	5	0
F240046	５０．３％	m	5	0
F240046	３４．３％	m	5	0
F240051	衰	ag	1	10
F240052	进取心	n	3	19
F240052	攒	v	1	19
F240054	熏陶	vn	2	24
F240057	失意	a	2	18
F240059	回味	v	2	14
F240060	合理性	n	3	25
F240062	男女平等	l	4	27
F240062	转型	vn	2	17
F240063	和睦	a	2	21
F240063	互勉	v	2	13
F240063	互让	v	2	9
F240063	民主化	vn	3	14
F240064	规劝	v	2	12
F240064	戒烟	vn	2	17
F240064	戒酒	v	2	17
F240064	戒赌	v	2	19
F240064	戒毒	v	2	16
F240064	划归	v	2	11
F240070	漩涡	n	2	24
F240074	一对对	m	3	11
F240074	欣	ag	1	8
F240074	羡	vg	1	12
F240075	起笔	n	2	20
F250002	销声匿迹	i	4	38
F250003	Ａ．	nx	2	0
F250004	撮合	vn	2	21
F250008	其意	n	2	21
F250009	机敏	an	2	17
F250011	屡	d	1	12
F250011	冷嘲热讽	i	4	38
F250011	义无反顾	i	4	21
F250012	油票	n	2	19
F250013	邀集	v	2	28
F250013	名演员	n	3	27
F250013	走穴	v	2	12
F250013	演艺	n	2	18
F250014	倒儿爷	n	3	18
F250014	黄牛	n	2	15
F250014	炒家	n	2	18
F250015	穴头	n	2	10
F250016	掮客	n	2	20
F250016	贬义	n	2	11
F250016	重利	n	2	16
F250016	奸诈	a	2	14
F250017	调侃	v	2	18
F250018	Ｂ．	nx	2	0
F250019	病房	n	2	18
F250020	身患	v	2	18
F250020	绝症	n	2	19
F250020	是娥	nr	2	19
F250020	艺术片	n	3	13
F250022	捉襟见肘	i	4	41
F250022	额外	b	2	20
F250023	操办	v	2	20
F250024	死神	n	2	15
F250025	奥尼尔	nr	3	22
F250025	戏剧节	n	3	21
F250026	娄际成	nr	3	22
F250026	名剧	n	2	16
F250026	悼	vg	1	11
F250027	叱咤风云	i	4	22
F250027	英雄汉	n	3	25
F250030	如愿以偿	i	4	35
F250033	头版	n	2	13
F250033	头条	n	2	12
F250035	文化部	nt	3	18
F250035	若诚	nr	2	16
F250036	文艺界	n	3	17
F250036	座谈	vn	2	20
F250037	艺术工作者	n	5	27
F250037	表演队	n	3	26
F250038	炜	nr	1	8
F250039	辞去	v	2	18
F250039	事务所	n	3	21
F250041	工商局	n	3	21
F250043	审批	vn	2	15
F250044	总局	n	2	16
F250045	口子	n	2	6
F250047	蓬蓬勃勃	z	4	44
F250048	不甘寂寞	i	4	33
F250048	朝思暮想	i	4	48
F250048	匍匐	v	2	20
F250049	芭蕾	n	2	23
F250049	齐风	nr	2	10
F250052	作曲家	n	3	23
F250052	光南	nr	2	15
F250052	音乐会	n	3	20
F250052	夙愿	n	2	20
F250052	经人	nr	2	10
F250054	票务	n	2	16
F250054	戏票	n	2	17
F250055	赞助	vn	2	23
F250055	踪迹	n	2	24
F250056	默认	v	2	20
F250058	尤伯罗斯	nr	4	30
F250059	奇闻	n	2	17
F250062	Ｃ．	nx	2	0
F250063	代理商	n	3	27
F250065	工商业	j	3	19
F250065	工商户	n	3	18
F250068	无业	b	2	9
F250068	停薪留职	l	4	48
F250068	在职	vn	2	17
F250070	简化	vn	2	17
F250070	介绍信	n	3	21
F250070	协	vg	1	6
F250070	出具	v	2	13
F250071	税费	n	2	21
F250072	大名县	ns	3	16
F250072	１５２９	m	4	0
F250074	集贸	j	2	21
F250075	泽辉	nr	2	20
F250075	服务所	n	3	21
F250076	经济师	n	3	23
F250078	流通领域	l	4	42
F250081	内陆	s	2	11
F250082	畅销书	n	3	24
F250085	人情	n	2	13
F250086	象牙之塔	i	4	30
F250086	高等	b	2	22
F250087	自命	v	2	14
F250087	清高	a	2	21
F250087	身体力行	i	4	22
F250088	揽活	v	2	21
F250088	分发	v	2	9
F250088	稿酬	n	2	28
F250088	提成	vn	2	18
F250089	交际	vn	2	13
F260001	行囊	n	2	28
F260005	悟空	nr	2	18
F260005	变戏法	v	3	22
F260006	中西部	f	3	20
F260006	民谣	n	2	17
F260007	八方	nz	2	6
F260010	狂风	n	2	11
F260010	呼啸	v	2	19
F260011	阴沉沉	z	3	20
F260011	苍穹	n	2	15
F260011	杳	ag	1	8
F260011	人迹	n	2	11
F260011	止住	v	2	11
F260012	稻穗	n	2	32
F260012	木牌	n	2	16
F260012	十方	n	2	6
F260012	十万八千	m	4	10
F260015	远行	v	2	13
F260016	每亩	r	2	14
F260016	２８８	m	3	0
F260016	提留	vn	2	22
F260016	土方	n	2	7
F260016	早稻	n	2	27
F260016	薄膜	n	2	29
F260016	３４３	m	3	0
F260016	款额	n	2	27
F260016	谷物	n	2	15
F260017	一不做	i	3	16
F260017	二不休	i	3	12
F260017	祖上	n	2	12
F260017	现钱	n	2	18
F260017	不远千里	i	4	21
F260017	申诉	v	2	12
F260021	北塘村	ns	3	25
F260022	集体经济	l	4	36
F260023	社员	n	2	14
F260026	法子	n	2	11
F260026	私囊	n	2	29
F260027	该村	r	2	15
F260028	农业税	n	3	23
F260028	１５．６	m	4	0
F260029	１０．７	m	4	0
F260029	优抚	vn	2	13
F260029	０．７	m	3	0
F260029	０．８	m	3	0
F260029	附加费	n	3	21
F260032	治安费	n	3	23
F260032	卫生院	n	3	17
F260032	助残	v	2	16
F260033	３．２	m	3	0
F260033	工价	n	2	9
F260033	资代力	nr	3	17
F260034	生产费	n	3	20
F260034	水费	n	2	13
F260034	抗旱	vn	2	14
F260034	抽水	vn	2	12
F260035	１２．３	m	4	0
F260036	兽医站	n	3	28
F260036	三包	j	2	8
F260036	防疫	vn	2	15
F260036	阉割	v	2	23
F260036	出诊	v	2	12
F260036	５．５	m	3	0
F260036	耕牛	n	2	14
F260037	牲	ng	1	9
F260040	补偿费	n	3	27
F260040	户均	j	2	11
F260041	户口	n	2	7
F260042	２９．７	m	4	0
F260042	５．８８％	m	5	0
F260042	补助费	n	3	23
F260042	群团	j	2	19
F260042	灭鼠	v	2	18
F260043	收款	v	2	18
F260043	掩人耳目	i	4	24
F260044	田亩	n	2	12
F260046	望风	v	2	15
F260049	大政方针	n	4	23
F260050	公粮	n	2	17
F260051	软磨	v	2	24
F260051	抗拒	v	2	14
F260052	浮躁	an	2	30
F260052	欺上瞒下	i	4	33
F260052	花架子	n	3	19
F260052	加码	v	2	13
F260053	慷	vg	1	14
F260053	慨	ng	1	12
F260053	空壳	n	2	15
F260054	三级	b	2	9
F260054	五子登科	i	4	28
F260055	登科	nr	2	21
F260056	谷子	n	2	10
F260056	拆	v	1	8
F260056	铐	v	1	11
F260056	号子	n	2	9
F260058	现款	n	2	20
F260058	抗税	vn	2	19
F260059	种田	v	2	14
F260061	申请人	n	3	17
F260061	同周村	ns	3	21
F260063	督促	v	2	22
F260063	清偿	vn	2	22
F260064	民事	b	2	13
F260064	诉讼法	n	3	21
F260064	第１９１	m	4	0
F260064	十五日	t	3	10
F260064	２９８．５	m	5	0
F260065	不服	v	2	12
F260068	审判员	n	3	22
F260069	交出	v	2	11
F260069	义愤填膺	i	4	45
F260069	忍无可忍	i	4	23
F260069	伸张	v	2	14
F260070	累死	v	2	17
F260074	丘陵	n	2	17
F260074	淹死	v	2	17
F260076	山岔村	ns	3	22
F260077	第三年	t	3	20
F260077	价款	n	2	18
F260079	凭据	n	2	19
F260081	忿忿不平	i	4	25
F260081	９２	m	2	0
F260081	公章	n	2	15
F270003	在册	vn	2	11
F270003	４４６８５７	m	6	0
F270003	８１５８	m	4	0
F270003	５７０万	m	4	0
F270004	方寸	n	2	7
F270005	百科全书	n	4	25
F270005	袖珍	b	2	19
F270006	稀世	b	2	17
F270006	价值连城	i	4	32
F270008	纪念邮票	l	4	32
F270009	兰芳	nr	2	12
F270009	小型张	n	3	19
F270009	跟头	n	2	18
F270010	１９６８年	t	5	0
F270010	差错	n	2	22
F270010	山河	n	2	16
F270010	上品	n	2	12
F270010	１３０００	m	5	0
F270010	１４２７０	m	5	0
F270010	１８２９０	m	5	0
F270012	三国演义	nz	4	28
F270012	票面值	n	3	30
F270012	０．９６	m	4	0
F270012	４．５	m	3	0
F270015	门市部	n	3	18
F270015	联姻	vn	2	21
F270016	哈密	ns	2	20
F270016	邮电局	n	3	19
F270016	邮政	n	2	16
F270016	订户	n	2	8
F270016	续订	v	2	15
F270018	屡禁不止	l	4	33
F270019	贩子	n	2	11
F270020	首日	t	2	13
F270020	一传	n	2	7
F270020	贩	ng	1	8
F270020	时间差	n	3	23
F270020	敲竹杠	v	3	27
F270022	邮品	n	2	16
F270022	售货亭	n	3	28
F270023	邮电部	nt	3	22
F270023	公安部	nt	3	20
F270023	国家税务总局	n	6	51
F270023	集邮品	n	3	28
F270024	函件	n	2	14
F270024	自办	v	2	10
F270025	少不了	l	3	10
F270027	名正言顺	i	4	27
F270027	５５０	m	3	0
F270027	成交价	n	3	18
F270028	辽	j	1	5
F270028	暂用	v	2	17
F270028	１５０００	m	5	0
F270028	２４０００	m	5	0
F270029	升幅	n	2	16
F270030	颂扬	v	2	16
F270031	集邮者	n	3	27
F270032	白领阶层	n	4	29
F270032	上辈	n	2	15
F270035	名望	n	2	17
F270035	获奖	v	2	19
F270037	倒买倒卖	l	4	34
F270037	哄抬	v	2	17
F270037	暴发户	n	3	24
F270038	欺行霸市	l	4	44
F270038	无所不为	i	4	20
F270042	小本经营	l	4	27
F270045	盘剥	vn	2	21
F270047	文化人	n	3	10
F270047	一统天下	i	4	17
F270048	大中小学	j	4	18
F270048	职员	n	2	18
F270050	黑社会	n	3	25
F270051	流窜	v	2	22
F270053	封地	n	2	15
F270054	语录	n	2	17
F270054	彪	nr	1	11
F270056	伪造	v	2	16
F270057	生肖	n	2	12
F270057	真品	n	2	19
F270058	麋鹿	n	2	28
F270058	以假乱真	l	4	32
F270059	仿造	v	2	16
F270059	印刷	vn	2	13
F270062	北部	f	2	15
F270062	门可罗雀	i	4	27
F270064	在行	a	2	12
F270067	整版	n	2	24
F270067	万元户	n	3	11
F270070	三里河	ns	3	18
F270071	爆冷门	l	3	29
F270074	婉言谢绝	l	4	39
F270076	手榴弹	n	3	29
F270076	炸药包	n	3	23
F270078	暴发	v	2	20
F270079	伪钞	n	2	15
F270079	暗流	n	2	23
